data_iniSE,SE,casos
2010/1/3,201001,30
2010/1/10,201002,44
2010/1/17,201003,46
2010/1/24,201004,47
2010/1/31,201005,68
2010/2/7,201006,56
2010/2/14,201007,66
2010/2/21,201008,74
2010/2/28,201009,95
2010/3/7,201010,74
2010/3/14,201011,66
2010/3/21,201012,101
2010/3/28,201013,84
2010/4/4,201014,78
2010/4/11,201015,82
2010/4/18,201016,92
2010/4/25,201017,121
2010/5/2,201018,137
2010/5/9,201019,115
2010/5/16,201020,124
2010/5/23,201021,103
2010/5/30,201022,86
2010/6/6,201023,55
2010/6/13,201024,95
2010/6/20,201025,79
2010/6/27,201026,86
2010/7/4,201027,100
2010/7/11,201028,98
2010/7/18,201029,90
2010/7/25,201030,122
2010/8/1,201031,129
2010/8/8,201032,107
2010/8/15,201033,77
2010/8/22,201034,90
2010/8/29,201035,52
2010/9/5,201036,61
2010/9/12,201037,76
2010/9/19,201038,83
2010/9/26,201039,56
2010/10/3,201040,34
2010/10/10,201041,41
2010/10/17,201042,46
2010/10/24,201043,59
2010/10/31,201044,76
2010/11/7,201045,83
2010/11/14,201046,93
2010/11/21,201047,123
2010/11/28,201048,147
2010/12/5,201049,186
2010/12/12,201050,234
2010/12/19,201051,201
2010/12/26,201052,149
2011/1/2,201101,310
2011/1/9,201102,385
2011/1/16,201103,380
2011/1/23,201104,624
2011/1/30,201105,1012
2011/2/6,201106,1639
2011/2/13,201107,1983
2011/2/20,201108,2056
2011/2/27,201109,1898
2011/3/6,201110,1984
2011/3/13,201111,3473
2011/3/20,201112,5472
2011/3/27,201113,6115
2011/4/3,201114,7389
2011/4/10,201115,6204
2011/4/17,201116,5196
2011/4/24,201117,5820
2011/5/1,201118,4805
2011/5/8,201119,4445
2011/5/15,201120,3432
2011/5/22,201121,2631
2011/5/29,201122,2126
2011/6/5,201123,1345
2011/6/12,201124,1024
2011/6/19,201125,633
2011/6/26,201126,547
2011/7/3,201127,341
2011/7/10,201128,299
2011/7/17,201129,219
2011/7/24,201130,293
2011/7/31,201131,194
2011/8/7,201132,204
2011/8/14,201133,206
2011/8/21,201134,154
2011/8/28,201135,145
2011/9/4,201136,165
2011/9/11,201137,156
2011/9/18,201138,208
2011/9/25,201139,240
2011/10/2,201140,232
2011/10/9,201141,257
2011/10/16,201142,252
2011/10/23,201143,322
2011/10/30,201144,321
2011/11/6,201145,406
2011/11/13,201146,369
2011/11/20,201147,599
2011/11/27,201148,622
2011/12/4,201149,816
2011/12/11,201150,944
2011/12/18,201151,869
2011/12/25,201152,1440
2012/1/1,201201,1358
2012/1/8,201202,1383
2012/1/15,201203,1741
2012/1/22,201204,2012
2012/1/29,201205,2164
2012/2/5,201206,2750
2012/2/12,201207,3237
2012/2/19,201208,3819
2012/2/26,201209,5546
2012/3/4,201210,6757
2012/3/11,201211,6953
2012/3/18,201212,8806
2012/3/25,201213,9462
2012/4/1,201214,9668
2012/4/8,201215,12490
2012/4/15,201216,14703
2012/4/22,201217,14708
2012/4/29,201218,13691
2012/5/6,201219,13199
2012/5/13,201220,11482
2012/5/20,201221,10247
2012/5/27,201222,8084
2012/6/3,201223,5290
2012/6/10,201224,4300
2012/6/17,201225,2793
2012/6/24,201226,1896
2012/7/1,201227,1321
2012/7/8,201228,902
2012/7/15,201229,682
2012/7/22,201230,504
2012/7/29,201231,571
2012/8/5,201232,476
2012/8/12,201233,494
2012/8/19,201234,409
2012/8/26,201235,302
2012/9/2,201236,233
2012/9/9,201237,359
2012/9/16,201238,246
2012/9/23,201239,191
2012/9/30,201240,206
2012/10/7,201241,197
2012/10/14,201242,232
2012/10/21,201243,257
2012/10/28,201244,226
2012/11/4,201245,228
2012/11/11,201246,198
2012/11/18,201247,216
2012/11/25,201248,316
2012/12/2,201249,335
2012/12/9,201250,395
2012/12/16,201251,373
2012/12/23,201252,485
2012/12/30,201301,534
2013/1/6,201302,862
2013/1/13,201303,919
2013/1/20,201304,1146
2013/1/27,201305,1346
2013/2/3,201306,1321
2013/2/10,201307,1749
2013/2/17,201308,3237
2013/2/24,201309,3852
2013/3/3,201310,4017
2013/3/10,201311,5395
2013/3/17,201312,5423
2013/3/24,201313,5351
2013/3/31,201314,6644
2013/4/7,201315,6499
2013/4/14,201316,5475
2013/4/21,201317,3931
2013/4/28,201318,2865
2013/5/5,201319,2292
2013/5/12,201320,1670
2013/5/19,201321,1248
2013/5/26,201322,816
2013/6/2,201323,614
2013/6/9,201324,520
2013/6/16,201325,426
2013/6/23,201326,281
2013/6/30,201327,223
2013/7/7,201328,206
2013/7/14,201329,185
2013/7/21,201330,85
2013/7/28,201331,134
2013/8/4,201332,93
2013/8/11,201333,186
2013/8/18,201334,76
2013/8/25,201335,232
2013/9/1,201336,61
2013/9/8,201337,83
2013/9/15,201338,56
2013/9/22,201339,104
2013/9/29,201340,62
2013/10/6,201341,65
2013/10/13,201342,62
2013/10/20,201343,75
2013/10/27,201344,73
2013/11/3,201345,48
2013/11/10,201346,74
2013/11/17,201347,108
2013/11/24,201348,111
2013/12/1,201349,144
2013/12/8,201350,115
2013/12/15,201351,77
2013/12/22,201352,81
2013/12/29,201401,89
2014/1/5,201402,152
2014/1/12,201403,142
2014/1/19,201404,156
2014/1/26,201405,119
2014/2/2,201406,125
2014/2/9,201407,119
2014/2/16,201408,120
2014/2/23,201409,67
2014/3/2,201410,74
2014/3/9,201411,92
2014/3/16,201412,117
2014/3/23,201413,94
2014/3/30,201414,87
2014/4/6,201415,86
2014/4/13,201416,72
2014/4/20,201417,70
2014/4/27,201418,89
2014/5/4,201419,84
2014/5/11,201420,89
2014/5/18,201421,81
2014/5/25,201422,54
2014/6/1,201423,60
2014/6/8,201424,49
2014/6/15,201425,57
2014/6/22,201426,46
2014/6/29,201427,59
2014/7/6,201428,44
2014/7/13,201429,44
2014/7/20,201430,45
2014/7/27,201431,58
2014/8/3,201432,56
2014/8/10,201433,53
2014/8/17,201434,61
2014/8/24,201435,64
2014/8/31,201436,76
2014/9/7,201437,61
2014/9/14,201438,68
2014/9/21,201439,76
2014/9/28,201440,90
2014/10/5,201441,66
2014/10/12,201442,63
2014/10/19,201443,61
2014/10/26,201444,47
2014/11/2,201445,49
2014/11/9,201446,54
2014/11/16,201447,43
2014/11/23,201448,46
2014/11/30,201449,47
2014/12/7,201450,39
2014/12/14,201451,34
2014/12/21,201452,25
2014/12/28,201453,11
2015/1/4,201501,53
2015/1/11,201502,44
2015/1/18,201503,47
2015/1/25,201504,43
2015/2/1,201505,63
2015/2/8,201506,48
2015/2/15,201507,74
2015/2/22,201508,101
2015/3/1,201509,130
2015/3/8,201510,200
2015/3/15,201511,277
2015/3/22,201512,306
2015/3/29,201513,399
2015/4/5,201514,691
2015/4/12,201515,864
2015/4/19,201516,1000
2015/4/26,201517,1211
2015/5/3,201518,1359
2015/5/10,201519,1598
2015/5/17,201520,1591
2015/5/24,201521,1180
2015/5/31,201522,976
2015/6/7,201523,891
2015/6/14,201524,959
2015/6/21,201525,870
2015/6/28,201526,436
2015/7/5,201527,438
2015/7/12,201528,331
2015/7/19,201529,327
2015/7/26,201530,260
2015/8/2,201531,255
2015/8/9,201532,475
2015/8/16,201533,184
2015/8/23,201534,178
2015/8/30,201535,186
2015/9/6,201536,135
2015/9/13,201537,107
2015/9/20,201538,117
2015/9/27,201539,121
2015/10/4,201540,132
2015/10/11,201541,109
2015/10/18,201542,110
2015/10/25,201543,116
2015/11/1,201544,155
2015/11/8,201545,174
2015/11/15,201546,200
2015/11/22,201547,211
2015/11/29,201548,316
2015/12/6,201549,413
2015/12/13,201550,446
2015/12/20,201551,312
2015/12/27,201552,218
2016/1/3,201601,550
2016/1/10,201602,476
2016/1/17,201603,470
2016/1/24,201604,476
2016/1/31,201605,473
2016/2/7,201606,646
2016/2/14,201607,889
2016/2/21,201608,875
2016/2/28,201609,1064
2016/3/6,201610,1328
2016/3/13,201611,1462
2016/3/20,201612,1877
2016/3/27,201613,3127
2016/4/3,201614,2968
2016/4/10,201615,2863
2016/4/17,201616,2312
2016/4/24,201617,2254
2016/5/1,201618,1339
2016/5/8,201619,1232
2016/5/15,201620,976
2016/5/22,201621,503
2016/5/29,201622,540
2016/6/5,201623,508
2016/6/12,201624,314
2016/6/19,201625,262
2016/6/26,201626,234
2016/7/3,201627,228
2016/7/10,201628,187
2016/7/17,201629,143
2016/7/24,201630,133
2016/7/31,201631,95
2016/8/7,201632,95
2016/8/14,201633,74
2016/8/21,201634,63
2016/8/28,201635,64
2016/9/4,201636,48
2016/9/11,201637,50
2016/9/18,201638,47
2016/9/25,201639,32
2016/10/2,201640,34
2016/10/9,201641,39
2016/10/16,201642,63
2016/10/23,201643,54
2016/10/30,201644,37
2016/11/6,201645,65
2016/11/13,201646,72
2016/11/20,201647,107
2016/11/27,201648,133
2016/12/4,201649,127
2016/12/11,201650,102
2016/12/18,201651,135
2016/12/25,201652,252
2017/1/1,201701,196
2017/1/8,201702,213
2017/1/15,201703,219
2017/1/22,201704,282
2017/1/29,201705,237
2017/2/5,201706,236
2017/2/12,201707,223
2017/2/19,201708,115
2017/2/26,201709,131
2017/3/5,201710,135
2017/3/12,201711,159
2017/3/19,201712,134
2017/3/26,201713,123
2017/4/2,201714,129
2017/4/9,201715,95
2017/4/16,201716,86
2017/4/23,201717,87
2017/4/30,201718,95
2017/5/7,201719,86
2017/5/14,201720,52
2017/5/21,201721,34
2017/5/28,201722,58
2017/6/4,201723,74
2017/6/11,201724,34
2017/6/18,201725,38
2017/6/25,201726,29
2017/7/2,201727,31
2017/7/9,201728,30
2017/7/16,201729,40
2017/7/23,201730,33
2017/7/30,201731,39
2017/8/6,201732,24
2017/8/13,201733,27
2017/8/20,201734,35
2017/8/27,201735,31
2017/9/3,201736,32
2017/9/10,201737,36
2017/9/17,201738,54
2017/9/24,201739,37
2017/10/1,201740,59
2017/10/8,201741,56
2017/10/15,201742,61
2017/10/22,201743,53
2017/10/29,201744,38
2017/11/5,201745,59
2017/11/12,201746,56
2017/11/19,201747,49
2017/11/26,201748,61
2017/12/3,201749,84
2017/12/10,201750,67
2017/12/17,201751,56
2017/12/24,201752,58
2017/12/31,201801,133
2018/1/7,201802,105
2018/1/14,201803,126
2018/1/21,201804,97
2018/1/28,201805,107
2018/2/4,201806,74
2018/2/11,201807,78
2018/2/18,201808,129
2018/2/25,201809,144
2018/3/4,201810,197
2018/3/11,201811,179
2018/3/18,201812,200
2018/3/25,201813,237
2018/4/1,201814,289
2018/4/4,201815,279
2018/4/15,201816,251
2018/4/22,201817,264
2018/4/29,201818,313
2018/5/6,201819,331
2018/5/13,201820,328
2018/5/20,201821,211
2018/5/27,201822,197
2018/6/3,201823,194
2018/6/10,201824,196
2018/6/17,201825,160
2018/6/24,201826,193
2018/7/1,201827,218
2018/7/8,201828,153
2018/7/15,201829,152
2018/7/22,201830,119
2018/7/29,201831,92
2018/8/5,201832,120
2018/8/12,201833,75
2018/8/19,201834,67
2018/8/26,201835,68
2018/9/2,201836,51
2018/9/9,201837,54
2018/9/16,201838,63
2018/9/23,201839,41
2018/9/30,201840,59
2018/10/7,201841,43
2018/10/14,201842,72
2018/10/21,201843,70
2018/10/28,201844,66
2018/11/4,201845,71
2018/11/11,201846,69
2018/11/18,201847,65
2018/11/25,201848,106
2018/12/2,201849,150
2018/12/9,201850,138
2018/12/16,201851,124
2018/12/23,201852,147
2018/12/30,201901,179
2019/1/6,201902,186
2019/1/13,201903,201
2019/1/20,201904,205
2019/1/27,201905,159
2019/2/3,201906,167
2019/2/10,201907,182
2019/2/17,201908,195
2019/2/24,201909,157
2019/3/3,201910,274
2019/3/10,201911,414
2019/3/17,201912,643
2019/3/24,201913,801
2019/3/31,201914,1112
2019/4/7,201915,1207
2019/4/14,201916,1280
2019/4/21,201917,1432
2019/4/28,201918,1643
2019/5/5,201919,1864
2019/5/12,201920,1624
2019/5/19,201921,1573
2019/5/26,201922,1233
2019/6/2,201923,980
2019/6/9,201924,769
2019/6/16,201925,551
2019/6/23,201926,497
2019/6/30,201927,489
2019/7/7,201928,285
2019/7/14,201929,238
2019/7/21,201930,168
2019/7/28,201931,169
2019/8/4,201932,140
2019/8/11,201933,140
2019/8/18,201934,97
2019/8/25,201935,71
2019/9/1,201936,64
2019/9/8,201937,66
2019/9/15,201938,83
2019/9/22,201939,99
2019/9/29,201940,73
2019/10/6,201941,67
2019/10/13,201942,65
2019/10/20,201943,58
2019/10/27,201944,40
2019/11/3,201945,65
2019/11/10,201946,56
2019/11/17,201947,50
2019/11/24,201948,74
2019/12/1,201949,49
2019/12/8,201950,75
2019/12/15,201951,58
2019/12/22,201952,43
2019/12/29,202001,69
2020/1/5,202002,100
2020/1/12,202003,109
2020/1/19,202004,85
2020/1/26,202005,77
2020/2/2,202006,57
2020/2/9,202007,77
2020/2/16,202008,65
2020/2/23,202009,49
2020/3/1,202010,70
2020/3/8,202011,53
2020/3/15,202012,39
2020/3/22,202013,32
2020/3/29,202014,36
2020/4/5,202015,21
2020/4/12,202016,28
2020/4/19,202017,29
2020/4/26,202018,29
2020/5/3,202019,29
2020/5/10,202020,13
2020/5/17,202021,12
2020/5/24,202022,16
2020/5/31,202023,11
2020/6/7,202024,16
2020/6/14,202025,22
2020/6/21,202026,14
2020/6/28,202027,13
2020/7/5,202028,18
2020/7/12,202029,22
2020/7/19,202030,17
2020/7/26,202031,11
2020/8/2,202032,11
2020/8/9,202033,12
2020/8/16,202034,10
2020/8/23,202035,9
2020/8/30,202036,10
2020/9/6,202037,10
2020/9/13,202038,12
2020/9/20,202039,14
2020/9/27,202040,11
2020/10/4,202041,12
2020/10/11,202042,10
2020/10/18,202043,19
2020/10/25,202044,9
2020/11/1,202045,12
2020/11/8,202046,25
2020/11/15,202047,20
2020/11/22,202048,10
2020/11/29,202049,17
2020/12/6,202050,10
2020/12/13,202051,8
2020/12/20,202052,6
2020/12/27,202053,8
2021/1/3,202101,6
2021/1/10,202102,9
2021/1/17,202103,12
2021/1/24,202104,28
2021/1/31,202105,18
2021/2/7,202106,15
2021/2/14,202107,15
2021/2/21,202108,24
2021/2/28,202109,19
2021/3/7,202110,27
2021/3/14,202111,36
2021/3/21,202112,39
2021/3/28,202113,45
2021/4/4,202114,52
2021/4/11,202115,48
2021/4/18,202116,36
2021/4/25,202117,38
2021/5/2,202118,30
2021/5/9,202119,39
2021/5/16,202120,50
2021/5/23,202121,49
2021/5/30,202122,40
2021/6/6,202123,34
2021/6/13,202124,33
2021/6/20,202125,21
2021/6/27,202126,28
2021/7/4,202127,22
2021/7/11,202128,19
2021/7/18,202129,19
2021/7/25,202130,7
2021/8/1,202131,12
2021/8/8,202132,9
2021/8/15,202133,9
2021/8/22,202134,16
2021/8/29,202135,17
2021/9/5,202136,12
2021/9/12,202137,9
2021/9/19,202138,6
2021/9/26,202139,14
2021/10/3,202140,4
2021/10/10,202141,9
2021/10/17,202142,3
2021/10/24,202143,6
2021/10/31,202144,6
2021/11/7,202145,5
2021/11/14,202146,20
2021/11/21,202147,24
2021/11/28,202148,23
2021/12/5,202149,16
2021/12/12,202150,6
2021/12/19,202151,4
2021/12/26,202152,4
2022/1/2,202201,21
2022/1/9,202202,14
2022/1/16,202203,22
2022/1/23,202204,19
2022/1/30,202205,31
2022/2/6,202206,35
2022/2/13,202207,47
2022/2/20,202208,62
2022/2/27,202209,66
2022/3/6,202210,116
2022/3/13,202211,126
2022/3/20,202212,177
2022/3/27,202213,153
2022/4/3,202214,222
2022/4/10,202215,201
2022/4/17,202216,234
2022/4/24,202217,342
2022/5/1,202218,461
2022/5/8,202219,505
2022/5/15,202220,406
2022/5/22,202221,400
2022/5/29,202222,338
2022/6/5,202223,255
2022/6/12,202224,153
2022/6/19,202225,209
2022/6/26,202226,189
2022/7/3,202227,155
2022/7/10,202228,144
2022/7/17,202229,194
2022/7/24,202230,148
2022/7/31,202231,145
2022/8/7,202232,106
2022/8/14,202233,110
2022/8/21,202234,99
2022/8/28,202235,94
2022/9/4,202236,101
2022/9/11,202237,120
2022/9/18,202238,102
2022/9/25,202239,95
2022/10/2,202240,102
2022/10/9,202241,123
2022/10/16,202242,160
2022/10/23,202243,139
2022/10/30,202244,131
2022/11/6,202245,171
2022/11/13,202246,129
2022/11/20,202247,94
2022/11/27,202248,86
2022/12/4,202249,98
2022/12/11,202250,123
2022/12/18,202251,117
2022/12/25,202252,163
2023/1/1,202301,230
2023/1/8,202302,217
2023/1/15,202303,246
2023/1/22,202304,311
2023/1/29,202305,384
2023/2/5,202306,524
2023/2/12,202307,371
2023/2/19,202308,506
2023/2/26,202309,872
2023/3/5,202310,944
2023/3/12,202311,1125
2023/3/19,202312,1382
2023/3/26,202313,1578
2023/4/2,202314,1419
2023/4/9,202315,1782
2023/4/16,202316,1499
2023/4/23,202317,1571
2023/4/30,202318,1919
2023/5/7,202319,1807
2023/5/14,202320,1731
2023/5/21,202321,1478
2023/5/28,202322,1328
2023/6/4,202323,1238
2023/6/11,202324,1348
2023/6/18,202325,1236
2023/6/25,202326,996
2023/7/2,202327,835
2023/7/9,202328,769
2023/7/16,202329,646
2023/7/23,202330,557
2023/7/30,202331,602
2023/8/6,202332,536
2023/8/13,202333,534
2023/8/20,202334,505
2023/8/27,202335,459
2023/9/3,202336,444
2023/9/10,202337,550
2023/9/17,202338,518
2023/9/24,202339,446
2023/10/1,202340,472
2023/10/8,202341,380
2023/10/15,202342,464
2023/10/22,202343,449
2023/10/29,202344,477
2023/11/5,202345,703
2023/11/12,202346,569
2023/11/19,202347,895
2023/11/26,202348,980
2023/12/3,202349,1138
2023/12/10,202350,1395
2023/12/17,202351,1063
2023/12/24,202352,943